,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
mu[42],7258.9,0.391659,55.4356,7169.93,7257.7,7350.97,20033.6,7.93248,0.999963
mu[43],5322.86,0.585202,83.707,5184.5,5322.59,5460.75,20460.3,8.10141,0.999926
mu[44],6500.08,0.500603,70.0633,6380.75,6502.37,6613.45,19588.2,7.75609,1.0
mu[45],7523.17,0.639809,96.6733,7359.07,7527.2,7675.66,22830.4,9.03987,0.999875
mu[46],7028.09,0.337861,52.0824,6940.8,7028.9,7112.19,23763.3,9.40924,0.999935
mu[47],8142.45,0.328102,46.5469,8063.9,8143.41,8216.33,20126.2,7.96913,1.00007
mu[48],6732.47,0.501982,73.6026,6609.42,6734.2,6850.84,21498.6,8.51254,0.999987
mu[49],6946.72,0.449089,63.3945,6841.17,6947.29,7049.95,19926.8,7.89018,1.00007
mu[50],8408.32,0.370699,56.2848,8314.25,8409.19,8499.53,23053.6,9.12826,1.00012
mu[51],7164.67,0.395098,56.3671,7070.96,7165.3,7256.74,20353.6,8.05916,1.00004
mu[52],8564.26,0.393054,60.4789,8461.34,8565.79,8660.47,23675.7,9.37458,1.00003
mu[53],8363.76,0.425827,64.0173,8257.03,8364.78,8467.77,22601.0,8.94905,0.999957
mu[54],8910.39,0.391635,60.0426,8809.93,8910.55,9008.27,23504.8,9.3069,1.00003
mu[55],9137.38,0.378518,57.0764,9042.83,9137.84,9230.73,22737.4,9.00303,1.00008
mu[56],7500.02,0.386142,57.9046,7403.5,7500.89,7593.86,22487.0,8.90392,0.999946
mu[57],9485.66,0.419316,63.8195,9380.54,9485.39,9590.51,23164.6,9.17219,0.999977
mu[58],7743.4,0.324594,46.9396,7667.42,7742.94,7821.34,20912.1,8.28032,1.00015
mu[59],8028.93,0.382305,54.7106,7940.33,8028.59,8119.09,20479.7,8.10911,1.00003
mu[60],4890.94,0.660907,104.643,4720.19,4890.88,5062.6,25069.2,9.92633,0.999892
mu[61],5708.35,0.544705,84.2573,5569.9,5707.94,5846.97,23927.2,9.47417,0.999976
mu[62],6336.21,0.44035,65.5929,6230.9,6335.1,6445.86,22188.0,8.7855,1.00002
mu[63],7463.56,0.487467,74.0487,7336.39,7467.2,7579.19,23075.1,9.13677,1.00003
mu[64],5691.03,0.552158,83.5484,5554.34,5690.32,5828.53,22895.5,9.06565,0.999893
mu[65],5369.04,0.576517,91.7957,5217.02,5369.99,5518.0,25352.5,10.0385,0.999883
mu[66],7327.07,0.378531,57.5127,7233.12,7326.91,7421.42,23084.7,9.14055,0.99989
mu[67],7406.93,0.29396,43.3808,7337.16,7406.33,7480.34,21778.0,8.62318,1.00015
mu[68],6900.85,0.491559,71.0038,6789.09,6897.84,7021.14,20864.6,8.26152,0.999959
mu[69],6583.08,0.422405,65.1312,6473.92,6583.61,6689.24,23775.0,9.41389,0.999882
mu[70],7760.28,0.414488,61.3215,7658.99,7760.8,7860.44,21887.8,8.66665,1.00003
mu[71],7016.07,0.383764,55.6971,6922.6,7017.34,7105.37,21063.8,8.34038,1.00004
mu[72],7157.14,0.399685,61.1419,7055.93,7158.02,7256.1,23401.4,9.26598,0.999924
mu[73],6370.36,0.510599,72.4231,6249.25,6370.82,6486.85,20118.4,7.96604,0.999851
mu[74],7320.41,0.384665,57.4091,7228.13,7319.44,7415.42,22273.9,8.81954,0.999931
mu[75],7371.05,0.410235,62.1265,7272.83,7368.94,7476.12,22934.5,9.08109,0.999969
mu[76],8632.07,0.40991,59.2069,8538.34,8629.67,8732.33,20862.6,8.26069,1.00004
mu[77],7985.68,0.316062,45.8674,7910.36,7986.15,8060.56,21060.3,8.33897,1.00011
mu[78],7092.85,0.511775,79.7854,6959.75,7094.5,7220.89,24304.6,9.62361,0.999914
mu[79],6648.57,0.480042,64.7348,6541.31,6648.93,6753.8,18185.2,7.20056,1.00007
mu[80],8575.34,0.395853,59.0707,8479.47,8574.25,8673.77,22267.7,8.81707,1.00013
mu[81],6812.51,0.465233,67.2188,6698.62,6814.46,6919.19,20875.7,8.26589,0.999941
mu[82],9033.06,0.457236,69.0395,8915.26,9034.9,9143.08,22799.0,9.02742,0.999995
mu[83],8060.47,0.458665,70.2007,7937.99,8064.15,8168.86,23425.7,9.27559,0.999914
mu[84],9562.92,0.450185,66.6095,9453.77,9562.59,9673.34,21892.2,8.6684,1.00003
mu[85],9527.65,0.510167,77.3879,9398.5,9528.54,9652.28,23010.3,9.11109,0.999967
mu[86],7279.39,0.579145,82.4102,7145.36,7279.43,7415.51,20248.3,8.01746,1.00005
mu[87],7873.3,0.391936,57.8325,7780.0,7872.08,7969.93,21772.7,8.62109,1.00009
mu[88],8641.59,0.390538,60.1166,8541.63,8642.26,8739.57,23695.3,9.38235,1.00001
mu[89],7795.66,0.351587,48.6879,7716.85,7794.77,7876.67,19176.8,7.59321,1.00005
mu[90],8910.89,0.383996,56.7105,8820.16,8909.09,9006.69,21810.9,8.6362,1.00012
mu[91],6713.55,0.472975,73.3399,6596.58,6711.38,6837.03,24043.9,9.52036,0.999997
mu[92],7387.74,0.357544,53.2229,7298.56,7388.67,7473.56,22158.4,8.7738,0.999952
mu[93],6412.97,0.465728,71.8144,6289.92,6415.79,6526.79,23777.0,9.4147,0.999887
mu[94],4846.14,0.626322,96.2998,4687.35,4846.35,5005.31,23640.4,9.3606,0.999865
mu[95],6519.87,0.617998,91.3888,6362.64,6523.83,6663.4,21868.1,8.65886,0.999888
mu[96],5396.47,0.748167,109.428,5213.56,5397.93,5573.33,21392.4,8.47048,0.999923
mu[97],8149.29,0.330167,49.5026,8065.61,8151.06,8228.52,22479.6,8.90096,1.00005
mu[98],6949.5,0.395911,58.0126,6855.33,6948.77,7046.17,21470.8,8.50153,0.999958
mu[99],6569.48,0.429957,66.503,6461.64,6568.05,6680.31,23923.9,9.47285,0.999962
mu[100],7001.8,0.477443,67.6655,6893.03,7000.25,7114.17,20085.9,7.95318,1.00009
mu[101],7792.23,0.435465,61.87,7687.17,7794.05,7891.39,20186.1,7.99285,0.99992
mu[102],6926.44,0.441316,63.7791,6821.62,6926.66,7030.42,20886.1,8.27001,0.999928
mu[103],6933.39,0.378591,56.612,6839.77,6934.06,7024.72,22360.2,8.8537,0.999951
mu[104],6991.72,0.494736,73.7887,6865.13,6994.5,7107.54,22245.0,8.80807,1.00006
mu[105],8465.21,0.457835,71.0776,8344.9,8466.66,8579.89,24101.7,9.54325,0.999925
mu[106],5836.54,0.503013,75.0212,5713.09,5836.94,5958.34,22243.8,8.80762,0.999905
mu[107],8349.86,0.404244,61.2313,8247.02,8350.82,8448.1,22943.5,9.08467,1.00014
mu[108],7835.91,0.525581,80.2522,7699.47,7838.98,7962.48,23315.0,9.23174,0.999988
mu[109],8034.06,0.354869,51.1202,7954.15,8031.75,8121.77,20751.5,8.21672,1.00005
mu[110],8899.2,0.398698,59.8021,8797.91,8901.02,8993.61,22498.0,8.90827,0.999952
mu[111],7072.93,0.364052,51.2489,6988.82,7073.0,7156.35,19817.2,7.84677,1.00002
mu[112],9715.14,0.563057,88.9158,9564.56,9717.32,9857.09,24937.6,9.87422,0.999984
mu[113],8046.53,0.317278,43.4001,7973.07,8047.36,8116.64,18711.2,7.40883,1.00016
mu[114],8438.65,0.480208,73.3711,8314.01,8440.85,8555.17,23344.9,9.24359,0.999884
mu[115],6821.34,0.50216,77.697,6689.12,6823.59,6943.83,23940.0,9.47922,0.999837
mu[116],8900.38,0.370176,54.3551,8813.96,8898.98,8991.61,21560.7,8.53714,1.00002
mu[117],7248.1,0.461965,67.8562,7135.05,7248.38,7356.9,21575.5,8.54299,1.00006
mu[118],8338.8,0.349361,50.4125,8256.34,8338.91,8421.66,20822.3,8.24475,1.00008
mu[119],8546.89,0.365545,55.5477,8453.03,8548.48,8634.64,23091.5,9.14326,0.999953
mu[120],7181.24,0.503869,68.738,7068.89,7180.88,7295.88,18610.5,7.36899,0.999906
mu[121],6036.97,0.447749,69.7882,5922.54,6037.37,6152.7,24293.8,9.6193,0.999896
mu[122],6023.3,0.5503,82.1644,5889.17,6022.62,6158.61,22293.0,8.82707,0.999956
mu[123],7311.08,0.379552,54.9282,7225.64,7308.33,7405.92,20943.5,8.29272,0.999957
mu[124],7317.24,0.388638,59.455,7219.73,7317.59,7414.89,23403.9,9.26694,1.00001
mu[125],6714.0,0.432575,64.3547,6608.73,6714.18,6818.86,22132.9,8.76368,0.99989
mu[126],7211.14,0.473556,73.3373,7088.49,7212.46,7328.49,23983.2,9.49632,0.999923
mu[127],6569.83,0.47581,71.0125,6449.22,6571.56,6683.95,22274.2,8.81964,1.0
mu[128],8247.06,0.436284,64.3415,8138.81,8248.1,8349.79,21749.2,8.61176,0.99996
mu[129],7591.98,0.375223,54.3628,7501.47,7592.8,7680.66,20990.6,8.31137,0.999948
mu[130],7124.11,0.525632,76.4962,6993.22,7126.03,7245.18,21179.5,8.38619,0.999857
mu[131],7191.44,0.401324,60.3754,7085.56,7194.83,7284.89,22632.4,8.96146,0.999941
mu[132],7287.82,0.387009,56.5685,7198.15,7285.74,7384.23,21365.2,8.45973,1.00004
mu[133],8737.01,0.406805,62.7953,8630.7,8738.44,8837.6,23827.7,9.43475,0.999973
