,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
mu[245],5659.04,0.47047,75.3485,5533.52,5659.29,5782.3,25649.9,10.1563,0.999849
mu[246],7377.63,0.426136,64.5506,7268.37,7379.97,7479.0,22945.9,9.0856,0.999908
mu[247],7691.1,0.403551,58.4119,7598.06,7689.34,7789.74,20951.0,8.29572,1.00001
mu[248],7061.19,0.347101,50.1488,6979.48,7060.38,7144.79,20874.2,8.26529,1.00015
mu[249],8361.44,0.372551,54.4714,8271.56,8361.43,8452.2,21378.0,8.46477,1.00015
mu[250],7414.81,0.430442,61.5784,7312.76,7415.44,7514.16,20465.7,8.10357,0.999952
mu[251],8164.05,0.439506,65.9973,8053.65,8165.01,8271.24,22548.8,8.92837,0.999977
mu[252],6898.95,0.502314,78.819,6769.42,6899.99,7028.06,24621.3,9.749,0.999917
mu[253],6828.78,0.494808,73.6036,6704.88,6830.28,6947.49,22127.1,8.76138,0.999903
mu[254],9175.37,0.349148,50.5932,9092.79,9175.16,9259.37,20997.4,8.31407,0.999989
mu[255],8515.85,0.384073,57.148,8422.35,8515.32,8610.84,22139.8,8.76642,0.999957
mu[256],8377.63,0.36344,53.9648,8288.99,8377.48,8466.65,22047.3,8.7298,0.999959
mu[257],10659.6,0.589179,90.2774,10512.0,10659.8,10807.5,23478.1,9.29633,1.0
mu[258],8915.6,0.555488,81.3,8778.26,8918.7,9044.46,21420.6,8.48165,1.00005
mu[259],6954.53,0.493399,73.3294,6835.65,6954.2,7075.34,22088.2,8.74599,0.999952
mu[260],7694.22,0.501237,74.458,7568.27,7696.24,7812.13,22066.7,8.73747,1.00001
mu[261],7355.27,0.395659,55.3719,7260.76,7357.02,7443.91,19585.6,7.75506,1.00012
mu[262],9476.25,0.641808,94.6448,9315.52,9478.77,9626.89,21746.2,8.61058,1.00005
mu[263],8501.54,0.39046,60.2133,8398.55,8504.27,8595.43,23781.1,9.4163,0.999994
mu[264],9223.84,0.503827,71.0845,9109.36,9222.08,9344.06,19906.1,7.88198,0.999981
mu[265],8962.24,0.36096,52.0196,8878.22,8961.72,9048.88,20769.0,8.22364,1.00008
mu[266],10918.9,0.655868,99.4709,10755.3,10918.7,11081.7,23001.7,9.10769,0.999966
mu[267],9058.22,0.417133,62.0149,8956.17,9057.87,9160.81,22102.5,8.75167,0.999978
mu[268],7183.34,0.503938,72.239,7065.84,7182.9,7302.56,20548.9,8.13651,1.00008
mu[269],7587.78,0.401087,58.1809,7487.93,7590.7,7676.89,21041.8,8.33166,1.00002
mu[270],8466.66,0.359775,52.4763,8382.41,8465.8,8555.36,21274.8,8.42392,1.00005
mu[271],8777.42,0.376289,57.6043,8680.06,8779.44,8868.87,23435.1,9.27931,1.00013
mu[272],7883.01,0.39286,60.6529,7777.56,7886.42,7976.63,23835.7,9.43793,1.00006
mu[273],7277.8,0.494549,71.6492,7156.72,7280.03,7392.1,20989.6,8.311,0.999987
mu[274],8933.95,0.488571,74.4025,8808.56,8935.67,9053.39,23191.1,9.18268,0.999917
mu[275],8177.1,0.39401,56.8239,8083.01,8177.95,8269.55,20799.3,8.23565,1.0002
mu[276],9879.11,0.604054,88.852,9733.76,9878.97,10025.2,21636.3,8.56705,0.999992
mu[277],8370.54,0.369774,54.7116,8281.88,8369.78,8462.61,21892.0,8.66831,1.00027
mu[278],7347.7,0.395676,58.8921,7246.68,7350.18,7439.6,22153.1,8.7717,1.00003
mu[279],8159.8,0.501999,75.993,8026.11,8165.21,8276.0,22916.2,9.07383,1.00008
mu[280],7590.87,0.35469,51.2227,7505.07,7591.5,7674.41,20855.8,8.25803,1.00002
mu[281],7197.47,0.451851,65.6996,7091.94,7195.77,7307.6,21141.5,8.37114,0.999895
mu[282],7649.23,0.313413,45.1747,7576.77,7648.36,7725.14,20775.8,8.22633,1.00005
mu[283],6824.38,0.390102,58.0705,6725.72,6825.78,6916.97,22159.3,8.77415,0.999876
mu[284],10102.0,0.645734,98.9766,9938.52,10102.6,10262.6,23494.1,9.30266,0.999977
mu[285],6671.08,0.419428,62.1112,6570.01,6669.83,6774.55,21929.3,8.68308,1.00003
mu[286],9143.59,0.451314,66.2815,9035.11,9143.65,9252.14,21568.8,8.54035,1.00014
mu[287],9026.17,0.381196,58.8214,8928.79,9026.79,9121.86,23810.8,9.42808,0.999965
mu[288],8382.64,0.347543,49.5989,8304.5,8380.6,8466.35,20367.0,8.06445,1.0001
mu[289],7880.37,0.346148,50.4434,7799.6,7879.26,7965.35,21236.6,8.40878,1.00015
mu[290],8419.26,0.620614,89.4218,8265.04,8423.33,8559.26,20760.8,8.22041,0.999929
mu[291],8781.0,0.718692,104.715,8598.8,8786.39,8942.6,21229.2,8.40587,0.999922
mu[292],8957.05,0.542086,81.1672,8820.71,8959.13,9088.33,22419.4,8.87715,0.999929
mu[293],8074.82,0.589418,87.7131,7926.84,8076.31,8215.64,22145.4,8.76863,0.999888
mu[294],7953.46,0.69842,98.2148,7783.73,7959.38,8104.69,19775.2,7.83015,0.999897
mu[295],7239.42,0.394545,55.5252,7148.0,7239.83,7331.06,19805.5,7.84214,1.00004
mu[296],7693.3,0.377792,55.6848,7601.03,7694.1,7783.91,21725.4,8.60235,1.00012
mu[297],6911.68,0.459685,64.8986,6802.89,6912.87,7016.24,19932.0,7.89222,1.00007
mu[298],8819.63,0.389685,59.3168,8722.17,8820.35,8916.89,23170.1,9.17437,1.00002
mu[299],8085.79,0.389823,58.2296,7984.7,8089.31,8175.18,22312.8,8.83491,0.999958
mu[300],9666.97,0.406019,62.558,9563.65,9667.73,9768.82,23739.6,9.3999,0.99999
mu[301],9110.89,0.606934,91.8116,8955.69,9114.63,9256.68,22883.0,9.0607,0.99996
mu[302],9758.5,0.492463,75.9095,9630.15,9760.21,9879.8,23759.9,9.40793,0.999907
mu[303],9120.0,0.428461,64.027,9013.17,9121.15,9223.9,22330.7,8.84202,1.00003
mu[304],10065.6,0.811065,123.844,9854.32,10068.4,10261.6,23315.3,9.23186,0.999994
mu[305],7276.57,0.482097,75.3617,7148.15,7280.36,7394.98,24436.2,9.6757,1.00002
mu[306],6657.97,0.407893,61.4757,6556.74,6657.95,6758.68,22715.0,8.99418,1.00001
mu[307],8183.31,0.605667,86.9927,8033.48,8188.02,8317.87,20629.9,8.16858,0.999978
mu[308],7222.86,0.552766,78.2425,7088.6,7226.5,7344.91,20035.6,7.93325,0.999945
mu[309],8420.63,0.344611,50.3369,8336.09,8422.04,8502.05,21336.0,8.44816,1.00015
mu[310],8745.46,0.379387,56.3155,8653.83,8744.96,8840.04,22033.9,8.72448,1.00014
mu[311],6657.45,0.477057,70.7659,6542.85,6656.6,6774.35,22004.3,8.71277,0.99997
mu[312],6609.01,0.441947,63.3281,6503.09,6609.11,6712.26,20533.0,8.13021,0.99992
mu[313],7805.08,0.472334,71.7017,7682.56,7808.53,7917.58,23044.1,9.12449,0.999926
mu[314],8809.19,0.35946,53.0511,8724.54,8807.34,8900.43,21781.5,8.62455,0.999992
mu[315],7759.12,0.414063,60.229,7659.24,7759.8,7856.96,21158.2,8.37774,0.999998
mu[316],9109.4,0.412046,62.1856,9008.19,9108.46,9213.57,22776.6,9.01855,1.00013
mu[317],6439.72,0.507794,78.1131,6312.87,6439.45,6569.34,23663.1,9.3696,0.999977
mu[318],8293.47,0.341436,50.4333,8208.41,8294.52,8374.49,21818.1,8.63905,1.00004
mu[319],8490.44,0.372605,54.0427,8399.52,8491.61,8577.71,21036.7,8.32963,1.00024
mu[320],8324.81,0.42941,64.1881,8216.71,8326.12,8427.78,22344.2,8.84738,0.999928
mu[321],9393.12,0.470836,70.953,9277.89,9392.93,9510.2,22709.2,8.99188,0.999989
mu[322],10344.2,0.597561,96.8834,10181.2,10346.0,10498.9,26286.6,10.4084,0.999931
mu[323],8687.98,0.35826,50.9931,8606.68,8686.56,8773.24,20259.3,8.02184,1.00001
mu[324],10669.7,0.614818,95.2477,10511.5,10671.6,10822.6,24000.2,9.50307,0.999923
mu[325],8174.46,0.428907,64.1998,8062.63,8178.61,8272.68,22404.8,8.87135,0.999855
mu[326],7332.98,0.515442,76.6234,7202.34,7336.25,7453.38,22098.6,8.7501,0.999993
mu[327],9157.36,0.446553,68.6084,9043.85,9158.14,9268.34,23605.3,9.34669,0.999917
mu[328],9332.22,0.466425,71.4462,9210.26,9334.64,9445.74,23463.6,9.29059,0.999946
mu[329],9164.08,0.477811,71.8671,9043.5,9164.82,9280.83,22622.9,8.95772,0.999934
mu[330],10613.6,0.596614,90.3398,10465.9,10613.1,10761.8,22928.2,9.07861,1.00001
mu[331],9526.73,0.460719,69.7043,9408.11,9528.41,9638.95,22890.0,9.06349,0.999944
mu[332],8261.5,0.400665,59.1587,8162.01,8263.3,8355.68,21800.8,8.63221,1.00017
mu[333],8581.34,0.341906,50.688,8495.87,8582.78,8661.67,21978.4,8.7025,1.00022
mu[334],8804.01,0.394384,60.0248,8703.14,8806.07,8899.79,23164.5,9.17218,1.00007
mu[335],7619.36,0.476645,73.9193,7493.74,7622.22,7736.2,24050.6,9.52303,1.00001
mu[336],8444.71,0.470279,67.9888,8335.06,8443.0,8558.64,20900.8,8.27584,1.00005
mu[337],7745.31,0.311802,43.6565,7672.63,7746.0,7815.09,19603.8,7.76228,0.999997
mu[338],8293.16,0.594088,85.6347,8146.25,8297.11,8426.23,20777.7,8.22711,0.999905
mu[339],8212.7,0.438641,62.8165,8106.99,8214.27,8312.79,20508.3,8.1204,1.00001
mu[340],9140.63,0.37814,56.5808,9049.51,9140.02,9234.74,22388.9,8.86505,1.00006
mu[341],9327.02,0.471791,68.8786,9213.73,9327.64,9440.42,21314.2,8.4395,1.00011
mu[342],8729.85,0.410611,60.0496,8633.43,8728.74,8830.72,21387.4,8.46853,0.999922
mu[343],7525.8,0.356015,51.1704,7441.05,7525.93,7609.95,20658.6,8.17992,0.999972
mu[344],8275.8,0.317073,46.2624,8198.56,8276.42,8351.36,21288.2,8.42922,1.00011
mu[345],8518.61,0.424507,62.8943,8414.7,8518.78,8623.15,21951.0,8.69165,1.00005
mu[346],9128.92,0.398743,59.712,9032.6,9127.65,9228.9,22425.2,8.87945,1.00003
mu[347],10281.5,0.517122,80.6838,10148.9,10281.9,10413.9,24343.7,9.63908,0.999887
mu[348],8506.34,0.394267,54.8415,8417.97,8505.53,8597.56,19348.1,7.66102,0.999943
mu[349],9448.24,0.435067,66.9926,9339.51,9447.92,9558.71,23710.5,9.38836,0.999947
mu[350],7752.27,0.338684,48.321,7673.98,7751.55,7832.51,20355.5,8.0599,1.00008
mu[351],10682.4,0.745509,112.238,10497.1,10682.9,10864.5,22666.2,8.97484,0.999949
mu[352],8207.74,0.356834,51.7112,8122.77,8207.6,8293.09,21000.9,8.31546,1.00016
mu[353],9109.0,0.409103,61.3418,9008.26,9109.04,9208.87,22482.7,8.9022,0.999953
mu[354],7366.12,0.424538,63.6657,7261.44,7366.03,7472.26,22489.4,8.90485,1.00014
mu[355],10314.4,0.607139,92.6428,10162.7,10314.7,10465.8,23283.5,9.21927,0.999924
mu[356],8168.08,0.412335,63.4422,8062.57,8168.46,8271.02,23673.1,9.37355,0.999997
mu[357],10977.8,0.711266,108.844,10799.4,10978.2,11155.9,23417.9,9.27249,0.999897
mu[358],8713.29,0.342837,50.5643,8629.56,8713.86,8795.38,21752.7,8.61316,1.00005
mu[359],10490.3,0.601383,94.1167,10336.1,10491.3,10644.7,24492.4,9.69794,0.999969
mu[360],8938.47,0.423949,65.9033,8826.35,8939.94,9044.23,24165.0,9.56832,0.999937
mu[361],10651.0,0.60295,96.2278,10491.6,10651.6,10807.4,25470.5,10.0852,0.999935
mu[362],9725.56,0.489546,76.1643,9599.07,9726.83,9849.32,24205.6,9.58438,1.0
mu[363],11430.7,0.852005,136.839,11204.5,11432.8,11653.2,25794.8,10.2137,0.999934
mu[364],9997.79,0.485587,76.8259,9871.42,9998.51,10123.2,25031.2,9.9113,0.999887
mu[365],8529.56,0.379151,55.8523,8439.35,8529.05,8621.97,21699.9,8.59226,1.0001
