,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
mu[239],8906.4,0.45085,68.0707,8791.36,8908.09,9014.33,22795.9,9.1044,1.00007
mu[240],8937.75,0.366011,54.1917,8849.55,8936.86,9027.58,21921.8,8.7553,1.00009
mu[241],7830.34,0.366824,52.8264,7744.52,7829.79,7917.57,20738.9,8.28285,1.0002
mu[242],8536.13,0.415974,62.8909,8431.54,8536.51,8638.4,22858.3,9.12931,1.00003
mu[243],9918.79,0.585196,88.9628,9771.85,9919.01,10063.5,23110.8,9.23016,0.999959
mu[244],7410.97,0.411176,61.7563,7311.67,7410.37,7512.98,22558.4,9.00954,0.999924
mu[245],5659.37,0.493067,75.3892,5534.65,5660.02,5782.39,23377.9,9.33687,0.99996
mu[246],7377.65,0.413961,64.4223,7268.58,7379.75,7479.45,24218.8,9.6727,0.999886
mu[247],7690.98,0.4127,58.1853,7597.89,7689.55,7788.31,19877.3,7.93876,1.00004
mu[248],7061.34,0.354602,50.4032,6979.26,7061.0,7145.22,20203.9,8.0692,1.00002
mu[249],8361.39,0.366712,54.3365,8273.06,8360.8,8451.53,21955.0,8.76858,0.999989
mu[250],7414.73,0.419583,61.3852,7313.6,7414.67,7515.82,21403.9,8.54844,1.00012
mu[251],8164.38,0.435952,64.8492,8056.47,8164.89,8270.01,22127.5,8.83745,0.999919
mu[252],6898.97,0.497085,78.0925,6769.98,6899.31,7026.66,24680.7,9.85718,0.999884
mu[253],6829.08,0.489588,73.3967,6706.01,6830.04,6947.72,22474.6,8.9761,0.999966
mu[254],9174.95,0.348607,50.9576,9091.24,9174.79,9258.63,21367.1,8.53374,1.00007
mu[255],8516.01,0.385503,56.8831,8422.88,8515.92,8609.04,21772.6,8.69572,1.00001
mu[256],8377.93,0.360822,54.027,8287.95,8378.42,8465.23,22419.9,8.95425,1.00001
mu[257],10659.8,0.603356,90.8578,10511.7,10658.6,10810.4,22676.6,9.05674,1.0
mu[258],8916.37,0.541517,81.7346,8778.81,8919.55,9044.54,22781.8,9.09879,0.999885
mu[259],6954.9,0.499642,73.1592,6833.79,6954.99,7074.48,21439.8,8.56278,1.00005
mu[260],7694.73,0.494175,74.7214,7569.18,7696.48,7814.35,22862.7,9.1311,1.00003
mu[261],7355.85,0.389632,55.7957,7261.58,7357.23,7444.72,20506.5,8.19004,1.00002
mu[262],9476.71,0.632633,94.7507,9315.06,9480.08,9626.94,22431.6,8.95892,0.99992
mu[263],8501.51,0.397624,60.6992,8397.79,8503.86,8597.26,23303.4,9.30711,0.999987
mu[264],9223.51,0.504451,70.7133,9109.57,9222.37,9342.12,19650.1,7.84801,1.00009
mu[265],8962.22,0.365347,52.1449,8876.97,8961.69,9048.65,20371.1,8.13597,1.00015
mu[266],10918.9,0.670456,99.5069,10756.7,10918.5,11082.6,22027.5,8.79752,0.999935
mu[267],9058.43,0.414984,61.922,8956.74,9058.29,9160.27,22265.2,8.89246,1.00012
mu[268],7183.77,0.516447,71.909,7066.73,7183.61,7302.05,19387.2,7.74302,0.999957
mu[269],7588.18,0.400249,58.2607,7488.91,7590.77,7679.92,21188.0,8.46225,0.999932
mu[270],8466.81,0.365074,52.2596,8382.15,8466.23,8552.4,20491.4,8.18401,0.99999
mu[271],8777.69,0.37769,57.7227,8678.18,8779.36,8869.13,23357.3,9.32863,0.999984
mu[272],7883.31,0.388797,59.9162,7780.26,7885.81,7977.42,23748.8,9.48499,0.999939
mu[273],7278.1,0.497839,72.1686,7156.1,7280.91,7392.38,21014.5,8.39292,1.00001
mu[274],8933.69,0.499427,73.1146,8809.96,8935.74,9049.74,21432.1,8.55971,0.999919
mu[275],8177.55,0.379996,57.0994,8082.41,8178.86,8269.97,22579.0,9.01779,0.999958
mu[276],9879.19,0.603388,88.9471,9733.6,9878.4,10025.0,21730.5,8.67891,0.999961
mu[277],8370.82,0.366144,55.247,8281.27,8369.84,8462.3,22767.5,9.09306,1.00016
mu[278],7348.3,0.39818,58.8462,7247.25,7350.21,7441.39,21841.3,8.72314,1.00012
mu[279],8160.89,0.495147,75.3414,8029.1,8164.86,8277.56,23152.6,9.24687,1.00011
mu[280],7590.7,0.350279,51.3343,7504.49,7591.32,7673.51,21477.7,8.57792,1.00026
mu[281],7196.84,0.445302,65.8614,7091.04,7195.15,7307.08,21875.2,8.7367,1.00004
mu[282],7649.24,0.315986,45.2144,7576.49,7647.84,7724.67,20474.7,8.17734,1.00008
mu[283],6824.56,0.396962,58.2297,6727.29,6826.01,6918.55,21517.5,8.59382,1.00016
mu[284],10102.1,0.660408,99.0614,9937.04,10102.2,10263.8,22500.1,8.98627,0.999937
mu[285],6670.85,0.418492,61.5499,6570.15,6670.67,6772.76,21631.2,8.63925,1.00004
mu[286],9144.11,0.450696,66.6481,9035.12,9143.68,9254.42,21868.0,8.7338,1.00001
mu[287],9025.76,0.389656,59.0625,8927.88,9026.8,9121.45,22975.3,9.17607,0.99999
mu[288],8382.22,0.34425,49.6195,8303.83,8380.51,8466.79,20775.8,8.29759,1.00027
mu[289],7880.69,0.349234,50.2923,7800.04,7879.93,7965.27,20738.1,8.28255,0.999925
mu[290],8418.78,0.616209,88.7287,8266.91,8421.72,8557.57,20733.5,8.2807,0.999987
mu[291],8781.05,0.696901,104.474,8600.78,8786.66,8942.13,22473.7,8.97572,0.999921
mu[292],8956.94,0.534756,80.852,8821.41,8959.47,9085.49,22859.6,9.12987,0.999976
mu[293],8074.81,0.575914,87.823,7927.77,8077.09,8216.04,23254.2,9.28745,1.00004
mu[294],7954.13,0.690523,98.2292,7782.0,7958.92,8104.73,20236.0,8.08202,0.999937
mu[295],7239.56,0.392699,55.5729,7146.84,7239.67,7330.94,20026.6,7.99837,1.00009
mu[296],7693.83,0.374536,55.9757,7600.27,7694.64,7784.15,22336.3,8.92086,1.00002
mu[297],6912.18,0.451641,65.2927,6802.07,6912.94,7017.33,20899.8,8.34715,0.999924
mu[298],8819.77,0.386951,59.5387,8721.1,8820.32,8916.52,23674.7,9.4554,0.999972
mu[299],8086.5,0.391579,58.0562,7985.98,8089.66,8176.65,21981.5,8.77916,1.0001
mu[300],9667.06,0.411061,62.822,9562.8,9667.9,9768.73,23356.7,9.32838,0.999949
mu[301],9110.69,0.600106,91.3116,8955.79,9113.82,9256.15,23152.4,9.24681,0.999915
mu[302],9758.31,0.492357,75.9242,9630.09,9760.2,9879.3,23779.4,9.49722,0.999934
mu[303],9119.73,0.418132,64.549,9012.0,9121.28,9223.69,23831.6,9.51805,0.99999
mu[304],10066.4,0.812153,123.681,9856.05,10070.0,10265.0,23191.6,9.26245,0.999842
mu[305],7277.03,0.496777,74.3774,7149.39,7279.76,7394.64,22416.0,8.95267,1.00023
mu[306],6657.6,0.412162,61.5062,6556.38,6657.8,6759.1,22269.1,8.89402,1.00015
mu[307],8183.8,0.584448,87.1838,8033.72,8188.41,8317.53,22252.6,8.8874,0.999892
mu[308],7223.08,0.531031,78.0115,7089.22,7226.05,7345.38,21581.3,8.61929,0.999944
mu[309],8420.94,0.339272,50.7022,8334.95,8422.22,8502.35,22333.6,8.91978,1.00003
mu[310],8745.69,0.377922,56.5717,8654.57,8744.68,8839.02,22407.5,8.94929,0.999979
mu[311],6657.31,0.481661,70.5488,6542.92,6656.57,6774.71,21453.5,8.56826,1.00002
mu[312],6608.86,0.437137,63.5129,6503.16,6609.14,6713.84,21110.0,8.43108,1.00016
mu[313],7805.25,0.469915,71.767,7681.33,7807.75,7917.43,23324.4,9.31549,1.00007
mu[314],8809.41,0.362819,52.9113,8725.14,8807.75,8897.54,21267.5,8.49397,0.999965
mu[315],7758.77,0.404504,59.3259,7659.74,7758.8,7855.73,21510.1,8.59089,1.00004
mu[316],9109.84,0.409671,62.207,9008.22,9109.29,9212.94,23057.3,9.20879,0.999942
mu[317],6439.72,0.528124,78.1753,6313.91,6439.51,6570.18,21911.3,8.75109,1.00002
mu[318],8293.47,0.341529,50.5529,8208.37,8294.52,8375.08,21909.7,8.75046,1.00008
mu[319],8490.78,0.359515,54.3868,8398.57,8492.5,8577.62,22885.1,9.14005,0.999946
mu[320],8325.18,0.423371,63.1655,8219.83,8325.42,8428.29,22259.6,8.89022,0.999909
mu[321],9392.77,0.481563,72.3325,9275.28,9392.64,9510.96,22561.1,9.01065,1.00011
mu[322],10344.5,0.628391,97.021,10181.3,10345.7,10502.3,23838.1,9.52066,0.999869
mu[323],8687.42,0.350264,51.2454,8605.29,8686.32,8773.51,21405.2,8.54897,1.00017
mu[324],10669.7,0.634724,95.241,10511.5,10670.2,10825.6,22515.4,8.99236,0.999915
mu[325],8174.35,0.425266,64.3568,8060.98,8178.51,8271.74,22901.7,9.14666,0.999993
mu[326],7333.77,0.507592,76.1639,7203.57,7335.6,7455.09,22514.8,8.99216,1.00013
mu[327],9157.42,0.455594,68.2189,9044.25,9157.96,9268.79,22420.9,8.95464,0.999925
mu[328],9331.94,0.46418,72.3216,9207.93,9335.27,9445.09,24275.2,9.69521,0.999901
mu[329],9163.92,0.478488,72.0471,9042.75,9165.22,9279.4,22672.1,9.05495,1.00002
mu[330],10613.7,0.603103,90.6348,10465.1,10613.7,10763.3,22584.3,9.0199,1.00006
mu[331],9527.05,0.458148,69.2247,9411.08,9528.15,9638.16,22830.2,9.11812,0.999997
mu[332],8262.07,0.388813,59.3185,8162.82,8263.28,8358.01,23275.5,9.29595,1.00003
mu[333],8581.48,0.336881,51.5163,8495.22,8583.15,8663.18,23385.0,9.33969,1.00005
mu[334],8804.27,0.392264,60.324,8701.17,8805.52,8900.32,23649.6,9.44537,1.00008
mu[335],7619.44,0.489074,73.3608,7495.23,7621.39,7737.44,22499.8,8.98616,1.00019
mu[336],8443.84,0.480327,68.6898,8332.97,8442.29,8558.69,20450.9,8.16782,1.00005
mu[337],7744.84,0.315986,44.0396,7671.16,7745.52,7815.41,19424.5,7.75791,1.00003
mu[338],8293.39,0.577447,85.8411,8147.66,8297.78,8426.53,22098.7,8.82594,0.999951
mu[339],8212.88,0.426632,63.0696,8106.4,8214.94,8313.12,21854.1,8.72827,1.00022
mu[340],9140.22,0.375604,56.6493,9049.14,9139.49,9233.95,22747.3,9.085,1.0001
mu[341],9327.16,0.466711,68.9095,9213.84,9327.39,9440.44,21800.3,8.70677,0.999937
mu[342],8729.25,0.421569,59.4038,8633.57,8728.33,8827.72,19856.0,7.93024,0.999992
mu[343],7525.26,0.349217,51.077,7441.03,7525.49,7609.15,21392.5,8.54389,1.00012
mu[344],8276.05,0.310254,46.4183,8199.3,8276.55,8352.03,22384.3,8.94001,1.00015
mu[345],8518.76,0.412599,62.8603,8414.71,8519.59,8621.41,23211.2,9.27029,0.999925
mu[346],9129.22,0.401375,60.0289,9031.56,9129.08,9228.4,22367.6,8.93335,1.00001
mu[347],10280.9,0.534401,80.7087,10147.4,10281.3,10412.3,22809.0,9.10965,0.999964
mu[348],8505.84,0.386581,55.61,8415.74,8504.76,8599.05,20693.1,8.26458,1.00012
mu[349],9447.58,0.452265,67.3612,9339.55,9447.0,9557.88,22183.6,8.85987,1.00004
mu[350],7752.37,0.336414,48.5717,7674.12,7751.54,7832.9,20845.8,8.32555,1.00019
mu[351],10682.5,0.757263,112.078,10496.5,10682.8,10866.5,21905.2,8.74868,0.999923
mu[352],8207.95,0.351719,51.9164,8121.78,8208.15,8292.45,21788.0,8.70186,1.00001
mu[353],9108.52,0.420496,61.4521,9008.09,9109.2,9209.08,21357.5,8.52992,1.00009
mu[354],7366.38,0.425136,63.6842,7262.13,7365.92,7471.7,22439.2,8.96195,1.00002
mu[355],10314.5,0.622247,92.2453,10163.3,10314.3,10464.8,21976.7,8.77724,0.999899
mu[356],8168.49,0.419444,63.8588,8061.37,8169.53,8272.01,23178.9,9.25738,1.00003
mu[357],10977.4,0.731361,108.921,10798.4,10977.7,11155.8,22180.0,8.85841,0.999954
mu[358],8713.2,0.341822,50.8165,8629.0,8714.11,8795.74,22100.9,8.82684,0.999974
mu[359],10489.7,0.614118,94.6013,10333.9,10489.8,10643.0,23729.6,9.47732,0.999924
mu[360],8938.28,0.426521,66.5422,8825.45,8939.94,9044.66,24339.5,9.72092,0.999931
mu[361],10651.1,0.624124,96.5518,10491.8,10650.9,10809.8,23932.0,9.55814,0.999927
mu[362],9725.58,0.501284,76.3958,9600.55,9725.58,9850.66,23225.8,9.27612,0.999908
mu[363],11430.7,0.904153,136.869,11204.3,11431.5,11654.1,22915.2,9.15206,0.999845
mu[364],9997.18,0.503287,77.5026,9868.86,9997.73,10123.9,23713.8,9.47101,0.99997
mu[365],8529.6,0.384494,56.2173,8437.98,8529.59,8621.74,21377.8,8.53802,1.00016
