,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
mu[35],7193.58,0.474163,72.9672,7070.76,7195.2,7309.59,23681.0,9.45791,1.00008
mu[36],6550.46,0.410092,60.9181,6451.07,6549.86,6651.79,22066.4,8.81305,0.999974
mu[37],7666.76,0.388493,56.3086,7575.97,7665.74,7761.05,21007.9,8.3903,1.00015
mu[38],5883.98,0.561583,83.7718,5746.38,5884.04,6022.3,22251.9,8.88715,0.999995
mu[39],5311.8,0.637815,100.125,5147.26,5311.8,5476.78,24643.2,9.8422,0.99985
mu[40],5425.93,0.545674,82.7296,5290.77,5425.59,5563.11,22985.6,9.18016,0.999913
mu[41],7562.91,0.382417,56.8802,7467.11,7564.76,7653.84,22123.2,8.83573,1.0001
mu[42],7258.69,0.382113,55.6239,7169.49,7258.02,7352.08,21190.4,8.46317,0.999996
mu[43],5323.18,0.608681,84.0713,5184.29,5323.09,5462.64,19077.2,7.61922,0.999953
mu[44],6500.62,0.491788,70.2283,6382.51,6501.36,6613.92,20392.3,8.14446,0.999958
mu[45],7523.96,0.653531,96.2627,7357.66,7527.21,7675.74,21696.2,8.66521,0.999872
mu[46],7028.14,0.344707,51.8179,6940.7,7029.28,7110.56,22597.4,9.02513,1.00005
mu[47],8142.59,0.323443,46.7263,8063.05,8144.08,8217.24,20870.2,8.33529,1.00017
mu[48],6732.85,0.492615,73.3115,6608.66,6735.35,6849.85,22147.7,8.84554,0.99994
mu[49],6947.34,0.442173,63.8106,6841.67,6947.47,7050.94,20825.8,8.31757,0.999977
mu[50],8408.82,0.365819,56.6317,8314.76,8409.28,8500.01,23965.5,9.57154,0.999985
mu[51],7165.06,0.390096,56.8109,7070.38,7166.07,7256.92,21208.9,8.4706,1.00002
mu[52],8564.59,0.396864,60.3431,8463.05,8566.05,8661.3,23119.2,9.23353,1.00014
mu[53],8363.7,0.420412,64.2513,8256.74,8364.37,8467.82,23356.7,9.32841,1.00005
mu[54],8910.68,0.391425,60.6209,8810.7,8911.11,9010.26,23985.4,9.57949,1.00004
mu[55],9137.52,0.378066,57.5077,9042.87,9137.63,9231.75,23137.6,9.24087,0.99992
mu[56],7500.23,0.390696,57.6901,7403.82,7501.61,7593.02,21803.4,8.70802,1.00015
mu[57],9485.1,0.425787,64.1076,9379.17,9485.59,9590.18,22669.1,9.05375,0.999997
mu[58],7743.47,0.32016,47.0761,7666.23,7743.28,7821.57,21620.6,8.635,1.00019
mu[59],8028.81,0.37867,54.8117,7938.61,8028.58,8119.49,20951.9,8.36796,1.00012
mu[60],4891.03,0.687617,104.683,4720.22,4890.95,5064.03,23176.9,9.25658,0.999935
mu[61],5707.55,0.557605,83.9313,5569.71,5707.03,5847.01,22656.6,9.04878,1.00006
mu[62],6335.45,0.452568,65.2181,6228.62,6334.59,6444.31,20766.7,8.29398,1.0001
mu[63],7464.36,0.486008,73.5978,7337.95,7466.77,7581.12,22932.0,9.15876,1.00003
mu[64],5690.41,0.563373,83.7446,5551.82,5689.86,5829.58,22096.5,8.82506,1.00004
mu[65],5369.01,0.599456,91.6875,5216.13,5370.34,5517.8,23394.0,9.34329,1.00006
mu[66],7326.78,0.38085,57.3775,7231.7,7326.3,7421.49,22697.4,9.06506,1.00003
mu[67],7407.33,0.296019,43.4268,7336.67,7406.86,7479.52,21521.7,8.59552,1.00013
mu[68],6900.47,0.479782,70.4942,6787.62,6898.48,7020.3,21588.3,8.6221,1.00014
mu[69],6583.44,0.437716,64.7936,6475.66,6583.98,6688.98,21911.9,8.75133,1.00003
mu[70],7760.18,0.409363,60.6388,7659.57,7760.73,7858.19,21942.5,8.76356,0.99999
mu[71],7016.04,0.386818,55.8778,6923.05,7017.29,7105.67,20867.2,8.33411,1.00003
mu[72],7157.15,0.401564,60.9402,7055.31,7157.94,7256.22,23030.3,9.19801,1.00008
mu[73],6370.73,0.502311,72.3179,6250.34,6371.53,6489.07,20727.4,8.27828,1.00011
mu[74],7319.96,0.389366,57.5089,7226.98,7318.56,7416.39,21814.9,8.7126,1.00018
mu[75],7370.59,0.423054,61.7875,7273.18,7368.79,7475.62,21330.9,8.51931,1.00013
mu[76],8632.23,0.413299,58.9859,8538.17,8630.3,8732.13,20368.9,8.13511,1.0001
mu[77],7985.45,0.308019,45.9585,7908.81,7985.75,8060.14,22262.6,8.89141,1.0001
mu[78],7092.51,0.510496,79.2314,6960.16,7093.98,7218.82,24088.5,9.62066,0.999912
mu[79],6648.95,0.473474,64.7725,6541.5,6649.68,6755.11,18714.9,7.47452,0.999963
mu[80],8575.18,0.383368,58.8279,8480.08,8574.58,8672.47,23547.0,9.4044,1.00013
mu[81],6813.19,0.479082,66.8561,6700.48,6814.77,6919.57,19474.4,7.77783,1.00001
mu[82],9033.24,0.452993,69.2005,8915.75,9035.72,9143.54,23336.5,9.32031,0.999968
mu[83],8061.1,0.469219,70.3865,7937.72,8065.13,8169.64,22502.4,8.98718,0.999899
mu[84],9563.11,0.455596,66.259,9455.09,9563.25,9672.59,21151.0,8.44746,1.00003
mu[85],9528.0,0.508108,76.8763,9399.83,9529.2,9650.63,22891.5,9.14258,0.999982
mu[86],7279.96,0.574641,82.0065,7143.51,7280.7,7414.47,20365.9,8.1339,0.999975
mu[87],7873.02,0.385785,57.2306,7780.32,7872.14,7968.82,22007.2,8.78942,0.999988
mu[88],8641.92,0.389195,60.5001,8542.84,8642.57,8738.81,24164.5,9.65102,0.999963
mu[89],7795.43,0.343193,48.6346,7716.33,7794.58,7876.58,20082.3,8.02064,1.00004
mu[90],8910.23,0.38325,56.3831,8819.6,8908.66,9005.0,21643.7,8.64424,1.00008
mu[91],6712.9,0.483601,72.9188,6595.96,6710.92,6835.54,22735.5,9.08028,1.00006
mu[92],7387.73,0.357295,53.265,7298.05,7388.8,7472.66,22224.4,8.87616,1.00017
mu[93],6413.21,0.467845,71.4894,6290.46,6415.43,6525.9,23349.7,9.32557,1.00005
mu[94],4846.21,0.64038,97.1008,4684.16,4846.9,5006.12,22991.7,9.18261,1.0
mu[95],6520.23,0.619615,91.7231,6363.13,6524.34,6663.7,21913.6,8.75204,1.0
mu[96],5396.43,0.736907,109.419,5215.02,5397.81,5573.07,22047.7,8.80557,1.00003
mu[97],8149.61,0.3318,49.2874,8066.59,8150.86,8228.39,22065.8,8.8128,1.00015
